iter	Passed	Remaining
0	9	907
1	14	727
2	19	644
3	22	538
4	25	480
5	27	427
6	29	390
7	32	377
8	34	353
9	36	329
10	46	375
11	48	357
12	50	335
13	51	317
14	52	300
15	54	284
16	55	272
17	60	274
18	66	281
19	69	279
20	72	272
21	74	262
22	75	253
23	80	256
24	82	246
25	83	236
26	84	228
27	85	219
28	86	212
29	87	204
30	89	198
31	90	192
32	94	191
33	95	185
34	96	180
35	98	174
36	99	169
37	100	164
38	101	159
39	102	154
40	104	149
41	104	144
42	107	143
43	109	139
44	110	135
45	111	131
46	113	127
47	114	123
48	115	120
49	116	116
50	117	113
51	118	109
52	122	108
53	124	105
54	125	102
55	126	99
56	128	96
57	129	93
58	131	91
59	132	88
60	133	85
61	136	83
62	140	82
63	141	79
64	143	77
65	144	74
66	145	71
67	146	69
68	148	66
69	150	64
70	151	61
71	153	59
72	154	57
73	157	55
74	158	52
75	159	50
76	161	48
77	162	45
78	163	43
79	165	41
80	167	39
81	168	36
82	169	34
83	170	32
84	172	30
85	173	28
86	174	26
87	176	24
88	177	21
89	180	20
90	181	17
91	183	15
92	184	13
93	185	11
94	186	9
95	187	7
96	189	5
97	190	3
98	192	1
99	194	0
