iter	Passed	Remaining
0	179	178928
1	182	90993
2	185	61590
3	191	47616
4	194	38695
5	197	32750
6	201	28541
7	205	25450
8	208	22957
9	211	20936
10	214	19275
11	220	18152
12	224	17007
13	227	16006
14	232	15247
15	235	14475
16	237	13750
17	240	13093
18	242	12511
19	246	12069
20	248	11568
21	250	11115
22	251	10699
23	253	10302
24	254	9938
25	256	9598
26	257	9283
27	260	9037
28	261	8758
29	263	8504
30	264	8267
31	266	8049
32	267	7847
33	269	7646
34	270	7455
35	271	7274
36	274	7134
37	275	6978
38	276	6822
39	278	6674
40	279	6534
41	280	6406
42	282	6282
43	283	6162
44	284	6047
45	286	5937
46	289	5864
47	290	5764
48	292	5669
49	294	5594
50	296	5516
51	297	5431
52	299	5346
53	300	5266
54	303	5218
55	305	5143
56	306	5071
57	307	4999
58	309	4929
59	310	4861
60	311	4797
61	312	4735
62	314	4675
63	316	4621
64	317	4571
65	319	4516
66	320	4460
67	321	4407
68	322	4354
69	323	4302
70	324	4251
71	326	4202
72	327	4154
73	328	4109
74	329	4066
75	332	4041
76	333	3999
77	334	3957
78	336	3917
79	337	3878
80	338	3839
81	339	3801
82	340	3758
83	341	3723
84	342	3691
85	345	3673
86	347	3642
87	348	3612
88	350	3583
89	351	3555
90	352	3525
91	354	3494
92	355	3464
93	356	3435
94	357	3405
95	358	3377
96	360	3358
97	361	3331
98	363	3305
99	364	3283
100	366	3258
101	367	3234
102	368	3210
103	370	3188
104	371	3165
105	372	3142
106	376	3139
107	377	3119
108	379	3102
109	382	3096
110	384	3082
111	386	3061
112	387	3041
113	388	3020
114	390	3008
115	392	2988
116	393	2966
117	394	2947
118	395	2928
119	396	2909
120	398	2892
121	399	2873
122	400	2855
123	401	2837
124	402	2819
125	405	2811
126	406	2793
127	407	2775
128	408	2759
129	409	2742
130	411	2727
131	412	2712
132	413	2696
133	414	2681
134	416	2666
135	417	2651
136	419	2643
137	421	2630
138	422	2616
139	423	2601
140	424	2588
141	425	2572
142	426	2558
143	428	2544
144	429	2531
145	430	2518
146	431	2504
147	433	2492
148	434	2484
149	436	2471
150	437	2458
151	438	2448
152	440	2436
153	441	2425
154	443	2415
155	444	2404
156	446	2397
157	449	2396
158	451	2390
159	453	2382
160	454	2370
161	458	2370
162	460	2363
163	461	2353
164	465	2356
165	466	2346
166	468	2335
167	469	2324
168	470	2313
169	472	2304
170	473	2295
171	474	2285
172	476	2276
173	477	2268
174	480	2264
175	481	2255
176	483	2245
177	484	2236
178	485	2227
179	486	2217
180	488	2208
181	489	2198
182	490	2190
183	492	2182
184	494	2179
185	496	2171
186	497	2162
187	498	2153
188	499	2144
189	501	2135
